Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.51,584.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:05 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.49,587.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:08 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.48,587.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:10 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.44,586.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:12 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.49,589.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:14 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.42,587.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:16 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.38,584.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:18 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.28,586.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:20 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.6,583.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:22 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.52,580.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:24 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.5,581.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:26 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.32,573.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:28 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.32,569.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:30 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.36,534.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:32 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.45,516.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:34 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.35,507.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:36 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.43,514.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:38 PM,Low dosage detected in this area,"[51.42341, -2.67129]"
0.46,514.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:40 PM,Low dosage detected in this area,"[51.42342, -2.67131]"
0.28,489.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:42 PM,Low dosage detected in this area,"[51.42341, -2.67134]"
0.38,476.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:44 PM,Low dosage detected in this area,"[51.42339, -2.67136]"
0.4,478.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:46 PM,Low dosage detected in this area,"[51.42338, -2.67136]"
0.4,488.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:48 PM,Low dosage detected in this area,"[51.42336, -2.67135]"
0.53,493.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:50 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.48,487.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:52 PM,Low dosage detected in this area,"[51.42333, -2.67133]"
0.43,471.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:54 PM,Low dosage detected in this area,"[51.42332, -2.67134]"
0.4,465.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:56 PM,Low dosage detected in this area,"[51.42331, -2.67136]"
0.55,528.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:58 PM,Low dosage detected in this area,"[51.4233, -2.67138]"
0.26,817.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:00 PM,Low dosage detected in this area,"[51.42331, -2.67141]"
0.4,1018.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:03 PM,Low dosage detected in this area,"[51.42332, -2.67143]"
0.41,1015.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:05 PM,Low dosage detected in this area,"[51.42333, -2.67143]"
0.39,1016.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:07 PM,Low dosage detected in this area,"[51.42334, -2.67143]"
0.36,1016.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:09 PM,Low dosage detected in this area,"[51.42335, -2.67142]"
